swift_ref,sender,receiver,amount_egp,amount_usd,beneficiary,ts
,,,38500.64,24410.18,,2024-01-14
,,,41664.14,42970.04,,2026-08-07
,,,44929.13,44495.3,,2023-04-24
,,,43177.78,28812.24,,2026-04-28
,,,28249.27,36024.01,,2023-04-25
,,,24984.71,11224.89,,2026-05-11
,,,48926.5,19926.0,,2023-12-02
,,,1496.54,27366.64,,2024-08-16
,,,34585.53,27419.22,,2025-11-16
,,,8580.96,10317.22,,2026-06-18
,,,33009.25,26342.08,,2026-04-07
,,,10082.79,33373.16,,2025-11-24
,,,2624.45,14440.56,,2023-07-04
,,,22634.83,44991.45,,2024-11-26
,,,11835.05,40444.32,,2024-03-12
,,,21892.0,4543.39,,2023-02-18
,,,48062.84,3509.59,,2025-07-28
,,,25865.88,35864.54,,2025-12-23
,,,45263.61,34248.11,,2025-10-28
,,,42630.23,510.32,,2025-07-02
,,,45978.84,30075.27,,2026-07-16
,,,22911.72,1261.18,,2025-08-10
,,,49904.94,1596.11,,2026-12-15
,,,18432.8,18576.06,,2026-03-04
,,,4620.08,40337.6,,2023-02-10
,,,22479.75,49251.97,,2025-06-18
,,,21736.57,49668.84,,2025-02-24
,,,18678.04,31913.86,,2023-07-17
,,,38506.26,5415.13,,2023-12-05
,,,43879.57,7867.53,,2023-11-19
,,,41043.32,428.84,,2024-11-18
,,,10022.26,13067.92,,2026-12-17
,,,38034.64,45323.51,,2023-10-12
,,,17599.68,29775.32,,2023-11-17
,,,13889.36,18029.25,,2024-02-13
,,,342.51,47930.65,,2023-12-13
,,,33383.8,1297.85,,2026-08-05
,,,36078.07,2575.47,,2023-04-03
,,,49995.82,13409.47,,2025-12-19
,,,33754.18,21203.65,,2023-12-10
,,,30785.64,3617.9,,2025-09-16
,,,33121.29,42126.36,,2023-05-07
,,,6477.56,19099.47,,2023-02-23
,,,38334.29,22434.51,,2024-10-09
,,,28218.18,24717.49,,2026-05-24
,,,1959.53,13458.79,,2023-11-06
,,,39517.96,21216.57,,2024-12-27
,,,7805.03,14044.57,,2025-05-04
,,,17822.98,48853.25,,2024-05-25
,,,21967.2,13335.13,,2023-11-17
,,,44013.09,3976.2,,2023-07-07
,,,44610.41,7532.28,,2024-11-07
,,,4192.2,23114.48,,2026-07-16
,,,18395.86,16574.16,,2024-06-15
,,,10559.81,24717.81,,2024-07-17
,,,47920.76,20657.64,,2024-06-03
,,,25568.51,22702.46,,2026-03-24
,,,13304.35,21849.38,,2023-02-25
,,,35352.17,23204.76,,2023-04-25
,,,48080.67,14160.43,,2023-12-26
,,,38327.11,12707.01,,2026-05-26
,,,35267.53,26296.34,,2023-03-06
,,,10968.96,11542.28,,2025-05-04
,,,10898.51,15916.98,,2025-10-20
,,,37786.87,7541.27,,2023-10-15
,,,41919.85,42975.01,,2025-08-07
,,,21795.6,24927.12,,2024-02-17
,,,15261.88,34766.29,,2024-10-05
,,,20592.25,39985.95,,2026-08-24
,,,31447.56,25926.54,,2024-10-20
,,,9338.57,27883.75,,2023-03-13
,,,4390.89,29361.98,,2023-05-05
,,,27928.62,14971.99,,2024-03-19
,,,7690.48,3638.75,,2025-06-02
,,,25807.48,5250.35,,2025-03-27
,,,12329.26,13057.64,,2026-12-19
,,,11379.64,28777.56,,2025-09-11
,,,31885.18,19614.88,,2024-01-16
,,,5264.08,25535.53,,2026-04-18
,,,26111.93,17965.0,,2023-02-12
,,,18828.22,24239.24,,2023-02-17
,,,24706.42,26788.49,,2026-04-23
,,,16053.49,7368.41,,2024-07-27
,,,1425.28,22371.87,,2024-04-20
,,,6198.84,3013.06,,2023-02-16
,,,9353.89,5012.22,,2023-12-16
,,,9377.91,44066.05,,2026-02-27
,,,38005.51,7105.37,,2026-06-03
,,,13840.82,12479.39,,2025-06-20
,,,478.86,492.72,,2024-06-18
,,,16591.55,18092.31,,2026-04-27
,,,38149.88,2464.84,,2025-04-27
,,,41579.23,3091.11,,2023-10-16
,,,13016.46,21060.43,,2026-01-17
,,,19895.92,33929.83,,2023-08-10
,,,28088.21,40048.09,,2026-12-11
,,,21810.77,1217.96,,2023-02-12
,,,32113.72,37463.9,,2024-12-02
,,,43208.68,5426.5,,2025-06-27
,,,36126.35,29472.21,,2024-06-10
,,,13072.94,27815.61,,2024-10-18
,,,4245.4,42485.28,,2025-05-26
,,,39910.72,40157.09,,2026-12-03
,,,25722.53,12890.93,,2026-10-01
,,,14375.43,24174.82,,2026-03-17
,,,49855.93,21353.12,,2023-03-13
,,,47786.53,32050.36,,2023-03-17
,,,33745.86,25907.62,,2024-12-18
,,,7254.28,32974.1,,2025-04-21
,,,32150.43,27340.77,,2026-03-10
,,,694.69,42372.57,,2024-03-17
,,,13555.92,28338.58,,2023-09-01
,,,6569.35,325.29,,2026-11-18
,,,49491.45,26346.1,,2024-12-12
,,,41040.88,42240.01,,2023-07-12
,,,29532.53,49122.69,,2024-07-25
,,,19696.06,45010.73,,2024-09-20
,,,2352.92,4647.37,,2024-07-08
,,,11520.59,3970.79,,2023-04-20
,,,33826.57,35291.97,,2026-12-10
,,,48902.49,14941.32,,2025-09-23
,,,2356.11,36576.73,,2024-05-21
,,,37547.37,6863.06,,2026-07-02
,,,47250.73,38818.89,,2026-09-21
,,,2957.08,13946.44,,2026-11-20
,,,11034.94,15019.38,,2025-04-13
,,,3454.35,30442.75,,2023-11-10
,,,24240.54,16866.57,,2023-02-14
,,,9268.28,45327.69,,2025-09-06
,,,25436.87,39169.93,,2023-10-05
,,,29459.27,7004.52,,2024-09-16
,,,37285.65,36207.67,,2025-09-07
,,,7288.6,15553.04,,2025-05-14
,,,15153.42,10844.25,,2024-09-02
,,,2111.8,11214.35,,2025-01-04
,,,49758.71,46521.03,,2025-07-06
,,,39674.4,48780.2,,2025-07-14
,,,46025.53,49315.73,,2023-05-24
,,,33150.88,18619.65,,2024-06-26
,,,3980.3,20585.36,,2026-06-06
,,,4443.15,22609.49,,2024-06-20
,,,31444.43,12513.61,,2025-01-05
,,,19310.51,7132.58,,2026-01-22
,,,42616.67,18423.24,,2023-02-09
,,,12773.5,8373.83,,2024-08-18
,,,9385.63,38156.11,,2024-01-06
,,,4376.97,8620.93,,2025-04-04
,,,46405.7,2147.96,,2025-06-07
,,,39394.91,15707.39,,2023-10-08
,,,28532.07,40813.29,,2026-02-17
,,,30811.31,41778.23,,2025-11-17
,,,43326.36,18280.69,,2026-07-25
,,,8689.7,6079.69,,2023-03-17
,,,30019.78,1113.19,,2024-06-06
,,,24515.87,24928.36,,2024-09-04
,,,18046.04,47547.68,,2024-01-05
,,,40968.36,8832.72,,2025-05-26
,,,24041.89,48814.2,,2025-05-16
,,,32992.13,45157.59,,2025-11-01
,,,1757.3,38025.04,,2023-10-22
,,,2581.45,3066.24,,2025-07-24
,,,45014.17,13532.01,,2024-02-01
,,,39964.02,25268.89,,2023-05-06
,,,39518.51,41345.36,,2024-01-11
,,,42248.96,1305.61,,2023-03-12
,,,34326.6,49244.47,,2025-12-19
,,,13461.13,38554.25,,2026-10-06
,,,44239.32,13287.16,,2026-10-16
,,,36028.68,46958.29,,2024-08-28
,,,15181.71,39457.18,,2026-04-08
,,,18910.82,29189.86,,2023-11-22
,,,34487.94,48972.3,,2024-02-19
,,,36071.41,38285.22,,2024-05-13
,,,9154.76,8983.53,,2025-02-03
,,,26596.84,21460.13,,2026-10-06
,,,26697.79,27542.8,,2023-01-14
,,,43373.29,32943.53,,2026-09-13
,,,13494.56,37626.36,,2026-08-06
,,,5915.59,21118.31,,2024-04-03
,,,15095.83,23348.18,,2025-07-10
,,,21210.31,1369.9,,2024-09-09
,,,9066.4,11780.88,,2024-02-03
,,,43922.87,36598.34,,2023-07-18
,,,30451.68,36212.44,,2024-01-06
,,,28362.9,33995.71,,2023-09-10
,,,5215.87,46807.05,,2026-03-17
,,,2500.03,48476.89,,2026-06-14
,,,5588.96,10680.36,,2024-11-05
,,,9060.59,42077.17,,2024-01-11
,,,39285.75,35490.35,,2026-01-02
,,,29362.08,16516.18,,2023-04-07
,,,38238.85,36277.67,,2023-03-09
,,,35867.13,32591.41,,2026-12-25
,,,44219.63,41224.2,,2024-07-18
,,,23244.52,31385.12,,2025-03-23
,,,21647.26,31.58,,2023-03-14
,,,14335.42,4417.14,,2026-05-19
,,,25871.65,29813.62,,2024-05-13
,,,4782.32,41892.11,,2026-01-26
,,,13595.13,39378.25,,2023-10-12
,,,4124.97,11594.66,,2025-11-06
,,,11492.0,22642.33,,2026-08-14
,,,23828.08,17624.1,,2023-05-16
,,,48902.07,1725.61,,2026-08-08
,,,38155.89,47456.93,,2023-09-19
,,,1466.64,42285.9,,2023-11-10
,,,30490.01,10588.31,,2023-09-19
,,,5236.68,31096.54,,2024-07-10
,,,14780.42,34392.07,,2023-03-19
,,,43497.33,41380.79,,2025-02-22
,,,20016.66,2835.75,,2025-01-01
,,,4028.53,22876.85,,2024-01-24
,,,36467.51,13462.39,,2026-05-03
,,,44888.01,3038.02,,2023-02-18
,,,32976.18,5833.85,,2025-03-06
,,,1368.39,21816.96,,2024-03-02
,,,5094.0,25980.45,,2025-09-03
,,,40476.12,45797.39,,2023-07-01
,,,16864.32,21739.78,,2023-10-13
,,,9274.7,8602.66,,2024-01-24
,,,31524.6,23423.54,,2025-08-21
,,,16929.34,36565.56,,2026-03-04
,,,49516.36,7374.44,,2026-07-24
,,,47257.63,46185.41,,2023-05-19
,,,26289.52,40546.05,,2024-04-18
,,,670.43,35782.49,,2025-07-07
,,,37261.85,42098.72,,2024-09-02
,,,15004.76,13359.26,,2023-01-27
,,,23927.42,1530.84,,2023-07-21
,,,27164.2,49803.77,,2026-09-10
,,,3838.92,27850.86,,2024-06-07
,,,15891.42,7158.76,,2025-03-06
,,,44776.71,14398.02,,2023-06-03
,,,15529.5,39634.4,,2025-03-17
,,,35545.73,34836.05,,2023-02-16
,,,20031.86,47808.49,,2023-04-28
,,,16814.0,7096.96,,2023-10-23
,,,12331.21,22332.17,,2025-03-20
,,,8870.84,35657.21,,2023-05-12
,,,45872.81,38044.77,,2026-06-20
,,,3049.95,21206.19,,2025-11-23
,,,37801.75,24920.23,,2024-04-06
,,,1377.69,35759.43,,2025-09-25
,,,7152.68,23207.13,,2023-11-20
,,,20570.09,41674.98,,2025-02-11
,,,14861.94,5048.28,,2023-06-22
,,,14775.72,39458.27,,2026-02-22
,,,43345.27,13947.7,,2026-10-20
,,,45213.78,43238.69,,2023-06-26
,,,38773.72,27824.11,,2024-11-01
,,,23106.34,27836.55,,2023-04-04
,,,40785.46,39221.24,,2023-01-28
,,,20795.99,7798.58,,2024-01-08
,,,29426.68,28435.59,,2025-03-24
,,,7276.58,9486.07,,2023-02-16
,,,26339.97,24106.07,,2026-02-15
,,,37316.02,12542.89,,2023-08-02
,,,40529.89,1440.76,,2026-12-13
,,,32252.74,45907.46,,2024-08-09
,,,26672.67,43650.77,,2026-10-09
,,,43841.62,4794.49,,2023-05-12
,,,28925.18,31134.07,,2024-10-21
,,,48372.25,28847.0,,2025-07-15
,,,10732.01,4077.2,,2026-08-22
,,,5465.62,32579.4,,2025-08-13
,,,37551.78,20754.37,,2023-06-08
,,,39899.62,8427.44,,2024-07-28
,,,28239.94,45387.1,,2023-06-15
,,,8146.21,41825.71,,2024-01-18
,,,24198.82,918.9,,2026-11-17
,,,11458.67,27050.47,,2025-03-15
,,,32075.76,46878.68,,2025-10-25
,,,21244.97,1590.24,,2026-01-28
,,,7303.34,41069.22,,2025-12-16
,,,43372.1,30658.84,,2025-01-13
,,,13586.23,5193.79,,2023-01-26
,,,9918.76,21329.43,,2024-02-06
,,,35139.91,18867.29,,2025-01-19
,,,10176.32,38388.59,,2024-11-06
,,,12661.46,20652.18,,2025-10-09
,,,47666.31,7070.62,,2025-11-05
